FLUVI - Simulador de Trafico - Exportacion de Metricas
Tiempo Virtual: Lunes 07:41:12
Perfiles Dinamicos Activos: Si
Tiempo por Paso: 2 segundo(s) simulados
Total de Mediciones: 60727

Marca de Tiempo,Densidad (%),Flujo (veh/s),Generacion Neta (veh/s),Velocidad (% movimiento),Entropia (bits)
07:00:10,0.26,0.02,0,95.45,0
07:00:20,0.45,0.05,3.8,100,0.071
07:00:30,0.57,0.06,1,97.92,0.108
07:00:40,0.75,0.07,1.5,90.48,0.126
07:00:50,0.83,0.08,0.7,91.43,0.158
07:01:00,0.94,0.09,0.9,94.94,0.169
07:01:10,1.04,0.1,0.9,94.32,0.185
07:01:20,1.16,0.12,1,100,0.202
07:01:30,1.31,0.13,1.2,98.18,0.224
07:01:40,1.46,0.15,1.3,100,0.252
07:01:50,1.59,0.16,1.1,98.51,0.279
07:02:00,1.73,0.17,1.2,100,0.3
07:02:10,1.85,0.18,1,98.72,0.318
07:02:20,1.98,0.2,1.1,99.4,0.338
07:02:30,0.26,0.03,15.8,100,0.07
07:02:40,0.26,0.03,0,100,0.078
07:02:50,0.29,0.03,0.1,100,0.078
07:03:00,0.29,0.03,0,100,0.085
07:03:10,0.29,0.03,0,100,0.085
07:03:20,0.34,0.03,0.2,100,0.085
07:03:30,0.34,0.03,0,100,0.099
07:03:40,0.37,0.04,0.1,100,0.099
07:03:50,0.37,0.04,0,100,0.106
07:04:00,0.4,0.04,0.1,100,0.106
07:04:10,0.4,0.04,0,100,0.113
07:04:20,0.4,0.04,0,100,0.113
07:04:30,0.43,0.04,0.1,100,0.113
07:04:40,0.4,0.04,0.1,100,0.119
07:04:50,0.43,0.04,0.1,100,0.113
07:05:00,0.43,0.04,0,100,0.12
07:05:10,0.43,0.04,0,100,0.12
07:05:20,0.46,0.05,0.1,100,0.12
07:05:30,0.49,0.05,0.1,100,0.126
07:05:40,0.49,0.05,0,100,0.133
07:05:50,0.49,0.05,0,100,0.133
07:06:00,0.49,0.05,0,100,0.132
07:06:10,0.49,0.05,0,100,0.133
07:06:20,0.49,0.05,0,100,0.133
07:06:30,0.52,0.05,0.1,100,0.133
07:06:40,0.54,0.05,0.1,100,0.14
07:06:50,0.54,0.05,0,100,0.146
07:07:00,0.52,0.05,0.1,100,0.146
07:07:10,0.52,0.05,0,100,0.139
07:07:20,0.52,0.05,0,100,0.139
07:07:30,0.49,0.05,0.1,100,0.139
07:07:40,0.49,0.05,0,100,0.132
07:07:50,0.49,0.05,0,100,0.132
07:08:00,0.52,0.05,0.1,100,0.132
07:08:10,0.54,0.05,0.1,100,0.14
07:08:20,0.54,0.05,0,100,0.146
07:08:30,0.54,0.05,0,100,0.146
07:08:40,0.54,0.05,0,100,0.146
07:08:50,0.52,0.05,0.1,100,0.146
07:09:00,0.52,0.05,0,100,0.139
07:09:10,0.54,0.05,0.1,100,0.139
07:09:20,0.54,0.05,0,100,0.146
07:09:30,0.52,0.05,0.1,100,0.146
07:09:40,0.49,0.05,0.1,100,0.14
07:09:50,0.52,0.05,0.1,100,0.133
07:10:00,0.49,0.05,0.1,100,0.14
07:10:10,0.46,0.05,0.1,100,0.133
07:10:20,0.43,0.04,0.1,100,0.126
07:10:30,0.49,0.05,0.2,100,0.12
07:10:40,0.49,0.05,0,100,0.133
07:10:50,0.49,0.05,0,100,0.133
07:11:00,0.49,0.05,0,100,0.133
07:11:10,0.52,0.05,0.1,100,0.133
07:11:20,0.54,0.05,0.1,100,0.14
07:11:30,0.54,0.05,0,100,0.146
07:11:40,0.54,0.05,0,100,0.146
07:11:50,0.54,0.05,0,100,0.146
07:12:00,0.6,0.06,0.2,100,0.146
07:12:10,0.63,0.06,0.1,100,0.159
07:12:20,0.66,0.07,0.1,100,0.165
07:12:30,0.66,0.07,0,100,0.171
07:12:40,0.69,0.07,0.1,100,0.171
07:12:50,0.72,0.07,0.1,100,0.178
07:13:00,0.74,0.07,0.1,100,0.184
07:13:10,0.74,0.07,0,100,0.19
07:13:20,0.77,0.08,0.1,100,0.19
07:13:30,0.83,0.08,0.2,100,0.196
07:13:40,0.83,0.08,0,100,0.208
07:13:50,0.83,0.08,0,100,0.208
07:14:00,0.83,0.08,0,100,0.208
07:14:10,0.89,0.09,0.2,100,0.208
07:14:20,0.92,0.09,0.1,100,0.219
07:14:30,0.92,0.09,0,100,0.225
07:14:40,0.86,0.09,0.2,100,0.225
07:14:50,0.86,0.09,0,100,0.214
07:15:00,0.8,0.08,0.2,100,0.214
07:15:10,0.86,0.09,0.2,100,0.202
07:15:20,0.89,0.09,0.1,100,0.214
07:15:30,0.92,0.09,0.1,100,0.219
07:15:40,0.92,0.09,0,100,0.225
07:15:50,0.95,0.09,0.1,100,0.225
07:16:00,0.95,0.09,0,100,0.231
07:16:10,1,0.1,0.2,100,0.231
07:16:20,0.97,0.1,0.1,100,0.242
07:16:30,1,0.1,0.1,100,0.237
07:16:40,0.97,0.1,0.1,100,0.242
07:16:50,1,0.1,0.1,100,0.237
07:17:00,1,0.1,0,100,0.242
07:17:10,1,0.1,0,100,0.242
07:17:20,1,0.1,0,97.14,0.242
07:17:30,1.06,0.11,0.2,100,0.242
07:17:40,1.06,0.11,0,100,0.253
07:17:50,1.15,0.11,0.3,100,0.254
07:18:00,1.17,0.12,0.1,100,0.27
07:18:10,1.2,0.12,0.1,100,0.276
07:18:20,1.23,0.12,0.1,100,0.281
07:18:30,1.26,0.13,0.1,100,0.287
07:18:40,1.32,0.13,0.2,100,0.292
07:18:50,1.35,0.13,0.1,100,0.303
07:19:00,1.35,0.13,0,100,0.308
07:19:10,1.4,0.14,0.2,100,0.308
07:19:20,1.4,0.14,0,100,0.318
07:19:30,1.4,0.14,0,100,0.318
07:19:40,1.43,0.14,0.1,100,0.318
07:19:50,1.43,0.14,0,100,0.322
